機器番号,名称,系統,仕様,,,,,動力 (50Hz),,,,,,付属品・その他,台数,設置場所,,備考
,,,型式,番手 #(φ),機器風量 m3/h,静圧 Pa,騒音値 (dB),相 P-V,消費電力 (KW),始動方式,操作,監視,種別,,,階,部屋名,(参考型番)
CAV-16-1,,,,,,,,,,,,,,,1,16,共用廊下,
CAV-3～6-2,定風量装置,2-16F ゴミ庫排気系統,低騒音電子式,150φ,-,-,-,AC24V,10VA,,,,,ｺﾞﾑ防振、他一式,4,3-6F,共用廊下,CAV-MW
CAV-7-2,(EA),,風量設定範囲：70-630m3/H,,,,,,,,,,,,1,7F,共用廊下,(三協ｴｱﾃｯｸ)
CAV-8-2,,,最大風量設定：180m3/H,,,,,,,,,,,,1,8F,共用廊下,
CAV-9-2,,,圧損： 10Pa,,,,,,,,,,,,1,9F,共用廊下,
CAV-10-2,,,,,,,,,,,,,,,1,10F,共用廊下,
CAV-11～15-2,,,,,,,,,,,,,,,5,11-15F,共用廊下,
CAV-16-2,,,,,,,,,,,,,,,1,16,共用廊下,
CAV-2-2,定風量装置,2-10F ゴミ庫排気系統,低騒音電子式,150φ,-,-,-,AC24V,10VA,,,,,ｺﾞﾑ防振、他一式,1,2F,共用廊下,CAV-MW
CAV-3～6-3,(EA),,風量設定範囲：70-630m3/H,,,,,,,,,,,,4,3-6F,共用廊下,(三協ｴｱﾃｯｸ)
CAV-7-3,,,最大風量設定：180m3/H,,,,,,,,,,,,1,7F,共用廊下,
CAV-8-3,,,圧損： 10Pa,,,,,,,,,,,,1,8F,共用廊下,
CAV-9-3,,,,,,,,,,,,,,,1,9F,共用廊下,
CAV-10-3,,,,,,,,,,,,,,,1,10F,共用廊下,
OS-1,脱臭装置,ﾋﾟｯﾄ(2) ﾃﾞｨｽﾎﾟｰｻﾞ処理槽室,ｵｿﾞﾝｶﾞｽ発生装置 / ｵｿﾞﾝ発生量： 600mg/H / 脱臭脱硫装置 / 処理風量： 360m3/H / 圧損： 90Pa,-,-,-,-,1-100,0.15,LS,A,,○,ﾀｲﾏｰSW(電気工事) / ｺﾞﾑ防振、他一式,1,ﾋﾟｯﾄ / RF,ﾃﾞｨｽﾎﾟｰｻﾞ処理槽室 / 屋上,SAT-006GKA20 / (三協ｴｱﾃｯｸ) / SAT-6DRU
OS-2,脱臭装置,B2F ｺﾞﾐ庫,ｵｿﾞﾝ脱臭装置 （壁掛型） / 室内有効面積： 60 ｍ2,-,-,-,-,1-100,0.026,LS,A,,○,ﾀｲﾏｰSW(電気工事) / ｺﾞﾑ防振、他一式,1,B2F,ゴミ置場,SAT-OF48KD / (三協ｴｱﾃｯｸ)
OS-3,脱臭装置,1F ｺﾞﾐ庫,ｵｿﾞﾝ脱臭装置 （壁掛型） / 室内有効面積： 30 ｍ2,-,-,-,-,1-100,0.008,LS,A,,○,ﾀｲﾏｰSW(電気工事) / ｺﾞﾑ防振、他一式,1,1F,ゴミ置場,SAT-OF15UJ-1 / (三協ｴｱﾃｯｸ)
AH-1,ｴｱ搬送ﾌｧﾝ,B1F 駐車場,標準ﾀｲﾌﾟ（天吊型) / 風 量： 1970ｍ3/Ｈ,-,-,-,-,1-100,0.11,LS,A,,○,ﾀｲﾏｰSW(電気工事) / ｺﾞﾑ防振、他一式,7,B1F,駐車場,AH-3009SA2 (三菱電機) / F-B1-1と連動
PAC-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ / (冷房専用),,,,,,,,(冷)9.45 / (暖)7.18 / (低温)9.43,,,,,,1,,,
PAC-1-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ / (冷房専用),,,,,,,,0.04,,,,,,2,,,
PAC-1-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ / (冷房専用),,,,,,,,0.02,,,,,,1,,,
PAC-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,,,,,,,,(冷)3.93 / (暖)4.05 / (低温)5.32,,,,,,1,,,
PAC-2-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,,,,,,,,0.02,,,,,,1,,,
